"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","TECH","altri istituti tecnici","2019","2019",9351,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",24029,,
"ITE","Centro","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",21125,,
"ITE1","Toscana","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","TECH","altri istituti tecnici","2019","2019",257,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",17,,
"ITE","Centro","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",159,,
"ITD2","Provincia Autonoma Trento","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",47,,
"ITF","Sud","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",616,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",3171,,
"ITF1","Abruzzo","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",1,,
"ITE3","Marche","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",761,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",540,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",1159,,
"ITE3","Marche","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",24,,
"ITF3","Campania","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",122,,
"ITE","Centro","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",4434,,
"ITE2","Umbria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",229,,
"ITE1","Toscana","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",1869,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","LIN","liceo linguistico","2019","2019",838,,
"ITE","Centro","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","ALL","totale","2019","2019",506,,
"ITD3","Veneto","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",24,,
