"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITD3","Veneto","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",1828,,
"ITE4","Lazio","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",393,,
"ITC4","Lombardia","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",8028,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",657,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SUR","istituto tecnico per geometri","2019","2019",14,,
"ITC","Nord-ovest","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",6571,,
"ITF","Sud","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",3074,,
"ITC","Nord-ovest","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","CLA","liceo classico","2019","2019",44960,,
"ITF1","Abruzzo","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",34,,
"ITF1","Abruzzo","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",2769,,
"IT","Italia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",317,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SUR","istituto tecnico per geometri","2019","2019",278,,
"ITE4","Lazio","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",2978,,
"ITC4","Lombardia","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","ARTI","liceo artistico","2019","2019",1739,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","ART","istituto d arte","2019","2019",3,,
"ITE3","Marche","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",649,,
"ITD4","Friuli-Venezia Giulia","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ART","istituto d arte","2019","2019",46,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",2834,,
"ITE3","Marche","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",8,,
"IT","Italia","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",9231,,
"ITD","Nord-est","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",88990,,
"ITC4","Lombardia","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",341,,
"IT","Italia","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","TECH","altri istituti tecnici","2019","2019",14,,
"ITE1","Toscana","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SUR","istituto tecnico per geometri","2019","2019",2,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",9358,,
"ITF3","Campania","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","VOC_OTH","altri istituti professionali","2019","2019",58,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",3274,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","CLA","liceo classico","2019","2019",61,,
"IT","Italia","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",10245,,
"ITE1","Toscana","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",141919,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",20,,
"ITE4","Lazio","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","CLA","liceo classico","2019","2019",1862,,
"IT","Italia","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","CLA","liceo classico","2019","2019",262894,,
"ITD","Nord-est","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",10341,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",237,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","CLA","liceo classico","2019","2019",1477,,
"ITC4","Lombardia","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","COM","istituto professionale per i servizi commerciali","2019","2019",19,,
"ITF","Sud","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",375318,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",37,,
"ITF2","Molise","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",0,,
"ITD","Nord-est","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",20,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",2714,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",5310,,
"ITE","Centro","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","VOC_OTH","altri istituti professionali","2019","2019",856,,
"ITF","Sud","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SUR","istituto tecnico per geometri","2019","2019",24,,
"ITC4","Lombardia","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","ARTI","liceo artistico","2019","2019",530,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",845,,
"ITE1","Toscana","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","SUR","istituto tecnico per geometri","2019","2019",225,,
"ITE3","Marche","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",9,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",368,,
"ITF3","Campania","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",43037,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",151,,
"ITC1","Piemonte","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",107,,
"ITD","Nord-est","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",223676,,
"ITF","Sud","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",342,,
"ITC4","Lombardia","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ART","istituto d arte","2019","2019",202,,
"ITD","Nord-est","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",2283,,
"ITF3","Campania","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",3051,,
"ITF1","Abruzzo","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",2,,
"ITE","Centro","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","STA","statale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",2271,,
"ITF3","Campania","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","CLA","liceo classico","2019","2019",19693,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",17,,
"ITC1","Piemonte","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",713,,
"ITF2","Molise","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",13066,,
"ITC3","Liguria","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",758,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",8427,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",9,,
"ITD","Nord-est","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",34,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",11988,,
"ITE2","Umbria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",1013,,
"ITD5","Emilia-Romagna","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","VOC_OTH","altri istituti professionali","2019","2019",274,,
"ITC3","Liguria","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",2721,,
"ITDA","Trentino Alto Adige / Südtirol","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",28,,
"ITD5","Emilia-Romagna","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","TECH","altri istituti tecnici","2019","2019",567,,
"ITDA","Trentino Alto Adige / Südtirol","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",284,,
"ITC","Nord-ovest","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",6685,,
"ITF3","Campania","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","CLA","liceo classico","2019","2019",9923,,
"ITE1","Toscana","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",480,,
"ITE","Centro","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",12035,,
"ITE2","Umbria","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",34,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",3850,,
"ITF3","Campania","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",5464,,
"ITD","Nord-est","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",2797,,
"ITD3","Veneto","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",722,,
"ITE1","Toscana","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","TECH","altri istituti tecnici","2019","2019",3235,,
"ITC3","Liguria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","IND","istituto professionale per l'industria e l'artigianato","2019","2019",0,,
"ITE2","Umbria","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",1082,,
"ITF3","Campania","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","TECH","altri istituti tecnici","2019","2019",284,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",38,,
"ITDA","Trentino Alto Adige / Südtirol","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",4,,
"ITF3","Campania","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","VOC_OTH","altri istituti professionali","2019","2019",702,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",2718,,
"ITF","Sud","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",1177,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",1476,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",274,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",31,,
"ITE2","Umbria","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","VOC_OTH","altri istituti professionali","2019","2019",8,,
"ITF","Sud","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",550,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",3948,,
"ITC3","Liguria","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",237,,
"ITD","Nord-est","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",185,,
"ITF1","Abruzzo","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",845,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","ALL","totale","2019","2019",912,,
"ITD","Nord-est","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",1117,,
"ITD3","Veneto","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",12514,,
"ITE2","Umbria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","CLA","liceo classico","2019","2019",31,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",131,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","CLA","liceo classico","2019","2019",11,,
"IT","Italia","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",4515,,
"IT","Italia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","COM","istituto professionale per i servizi commerciali","2019","2019",13,,
"ITD3","Veneto","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",33,,
"ITF1","Abruzzo","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",89,,
"ITC1","Piemonte","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",303,,
"ITD5","Emilia-Romagna","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","VOC_OTH","altri istituti professionali","2019","2019",18,,
"ITDA","Trentino Alto Adige / Südtirol","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",2302,,
"ITC","Nord-ovest","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",3347,,
"ITE3","Marche","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",7664,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",91,,
"ITF2","Molise","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",30,,
"ITC4","Lombardia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","COM","istituto professionale per i servizi commerciali","2019","2019",8,,
"ITF1","Abruzzo","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",1751,,
"ITF3","Campania","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",6464,,
"ITE3","Marche","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ART","istituto d arte","2019","2019",2269,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","CLA","liceo classico","2019","2019",268,,
"ITD3","Veneto","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",1,,
"ITC4","Lombardia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",596,,
"ITD3","Veneto","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",39,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",5490,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",32881,,
"ITF","Sud","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",44102,,
"ITD","Nord-est","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",6813,,
"ITE3","Marche","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",57,,
"ITF","Sud","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","VOC_OTH","altri istituti professionali","2019","2019",310,,
"ITD5","Emilia-Romagna","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",1602,,
"ITD3","Veneto","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",663,,
"ITC3","Liguria","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",78,,
"ITC3","Liguria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","CLA","liceo classico","2019","2019",52,,
"ITD4","Friuli-Venezia Giulia","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",3,,
"ITF","Sud","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",1429,,
"ITE2","Umbria","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",79,,
"ITE1","Toscana","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",1226,,
"ITD3","Veneto","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","ARTI","liceo artistico","2019","2019",0,,
"ITC1","Piemonte","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",9219,,
"ITC4","Lombardia","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",69,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",41,,
"IT","Italia","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ART","istituto d arte","2019","2019",151,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",833,,
"ITE3","Marche","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",4763,,
"ITC1","Piemonte","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",20,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",369,,
"ITF3","Campania","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",49,,
"ITE3","Marche","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",18,,
"ITE4","Lazio","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","LIN","liceo linguistico","2019","2019",89,,
"ITD3","Veneto","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","CLA","liceo classico","2019","2019",30,,
"ITE1","Toscana","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","TECH","altri istituti tecnici","2019","2019",3235,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",21992,,
"ITD","Nord-est","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1113,,
"ITE","Centro","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",11277,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",67,,
